university;user_id;user_name;number_tweets;friends_count;followers_count;created_at
uvalpochile;1396712583160373248;Issugov;1;80;0;"Mon May 24 06:20:13 +0000 2021"
uvalpochile;3079262957;yubiyubiperez;248;470;25;"Sun Mar 08 12:50:11 +0000 2015"
uvalpochile;821050530466328577;IDCRCh;227;1178;145;"Mon Jan 16 17:44:35 +0000 2017"
uvalpochile;715534473828413440;edhebettcarrasc;1;68;11;"Thu Mar 31 13:41:27 +0000 2016"
uvalpochile;1395846148414447619;Hardyojeda11;0;134;1;"Fri May 21 20:59:58 +0000 2021"
uvalpochile;1395823648859172871;ZenithNr;54;488;86;"Fri May 21 19:29:02 +0000 2021"
uvalpochile;154940705;pascalosa;382;804;165;"Sat Jun 12 17:03:35 +0000 2010"
uvalpochile;1394889334159982595;RPucv;2;63;5;"Wed May 19 05:42:40 +0000 2021"
uvalpochile;115099532;emundaca;282;1726;487;"Wed Feb 17 16:16:25 +0000 2010"
uvalpochile;2147990206;TecnoLiberal;4223;2417;679;"Tue Oct 22 04:33:25 +0000 2013"
uvalpochile;1678780338;meryampuerosoto;195;364;36;"Sat Aug 17 17:57:19 +0000 2013"
uvalpochile;106454302;ViviBobadillaR;3362;716;148;"Tue Jan 19 16:23:13 +0000 2010"
uvalpochile;64475009;catagumucio;5459;1642;53;"Mon Aug 10 18:30:23 +0000 2009"
uvalpochile;1227564098751258624;porladiestra;11525;345;474;"Wed Feb 12 12:04:35 +0000 2020"
uvalpochile;348881606;dpcontrer;851;1031;299;"Fri Aug 05 04:39:53 +0000 2011"
uvalpochile;222991487;MANOLEX29;3375;2494;270;"Sun Dec 05 02:08:12 +0000 2010"
uvalpochile;221716854;chilelibrehoy;17877;4192;593;"Wed Dec 01 12:20:41 +0000 2010"
uvalpochile;1367618233361121283;Fernando_CG11;85;80;45;"Thu Mar 04 23:29:38 +0000 2021"
uvalpochile;2973889563;callisjoplin;18;337;14;"Mon Jan 12 00:55:15 +0000 2015"
uvalpochile;1191128657454088193;Mauperez92;4341;714;362;"Sun Nov 03 23:03:09 +0000 2019"
uvalpochile;156222047;diego_tapia1;173;188;38;"Wed Jun 16 10:00:47 +0000 2010"
uvalpochile;1476108098;angela31a;1670;90;24;"Sun Jun 02 01:32:35 +0000 2013"
uvalpochile;265761576;eafu2011;1550;2207;1065;"Mon Mar 14 03:16:25 +0000 2011"
